feature,domain,included_in_clustering,included_in_diagnostic_counterfactual_search,actionability_class,realistic_improvement_direction,diagnostic_counterfactual_direction,candidate_values,causal_intervention_claim_allowed,rationale,review_status,review_note
willingness_constraint_score,Organizational readiness,True,True,INDIRECTLY_MODIFIABLE,DECREASE_FRICTION,BOTH,OBSERVED_NORMALIZED_LEVELS_ONLY,False,"May change through trust, usefulness evidence, participation, and implementation experience.",REVIEW_REQUIRED,
digital_usage_constraint_score,Digital integration,True,True,INDIRECTLY_MODIFIABLE,DECREASE_FRICTION,BOTH,OBSERVED_NORMALIZED_LEVELS_ONLY,False,"Usage can change after access, workflow integration, training, and support improve.",REVIEW_REQUIRED,
training_deficit_score,Human capacity,True,True,DIRECTLY_MODIFIABLE,DECREASE_FRICTION,BOTH,OBSERVED_NORMALIZED_LEVELS_ONLY,False,"Can change through training, onboarding, and continuing technical support.",REVIEW_REQUIRED,
device_constraint,Infrastructure,True,True,DIRECTLY_MODIFIABLE,DECREASE_FRICTION,BOTH,OBSERVED_NORMALIZED_LEVELS_ONLY,False,"Can change through device acquisition, replacement, or shared-access redesign.",REVIEW_REQUIRED,
digital_tool_variety_constraint,Infrastructure and integration,True,True,DIRECTLY_MODIFIABLE,DECREASE_FRICTION,BOTH,OBSERVED_NORMALIZED_LEVELS_ONLY,False,Can change by adopting or consolidating appropriate digital tools.,REVIEW_REQUIRED,
internet_stability_constraint,Infrastructure,True,True,DIRECTLY_MODIFIABLE,DECREASE_FRICTION,BOTH,OBSERVED_NORMALIZED_LEVELS_ONLY,False,"Can change through connectivity upgrades, redundancy, or provider changes.",REVIEW_REQUIRED,
staffing_constraint_score,Human capacity,True,True,CONTEXTUALLY_MODIFIABLE,DECREASE_FRICTION,BOTH,OBSERVED_NORMALIZED_LEVELS_ONLY,False,"Can change, but often depends on budgets, hiring conditions, and external constraints.",REVIEW_REQUIRED,
time_constraint_score,Operational capacity,True,True,INDIRECTLY_MODIFIABLE,DECREASE_FRICTION,BOTH,OBSERVED_NORMALIZED_LEVELS_ONLY,False,"May change through staffing, scheduling, simplification, or task redistribution.",REVIEW_REQUIRED,
administrative_disorganization_constraint,Organizational capacity,True,True,INDIRECTLY_MODIFIABLE,DECREASE_FRICTION,BOTH,OBSERVED_NORMALIZED_LEVELS_ONLY,False,"May change through process standardization, role clarity, and governance routines.",REVIEW_REQUIRED,
recording_system_constraint,Infrastructure and integration,True,True,DIRECTLY_MODIFIABLE,DECREASE_FRICTION,BOTH,OBSERVED_NORMALIZED_LEVELS_ONLY,False,Can change through digitization or redesign of institutional record systems.,REVIEW_REQUIRED,
system_change_resistance_constraint,Organizational capacity,True,True,INDIRECTLY_MODIFIABLE,DECREASE_FRICTION,BOTH,OBSERVED_NORMALIZED_LEVELS_ONLY,False,"May change through implementation support, participation, and change management.",REVIEW_REQUIRED,
admin_time_load_constraint,Operational capacity,True,True,INDIRECTLY_MODIFIABLE,DECREASE_FRICTION,BOTH,OBSERVED_NORMALIZED_LEVELS_ONLY,False,"May change through workflow redesign, automation, or redistribution of tasks.",REVIEW_REQUIRED,
resource_constraint_score,Resource capacity,True,True,CONTEXTUALLY_MODIFIABLE,DECREASE_FRICTION,BOTH,OBSERVED_NORMALIZED_LEVELS_ONLY,False,"Can change but may depend on funding, donations, policy, or external support.",REVIEW_REQUIRED,
