feature,domain,included_in_clustering,included_in_diagnostic_counterfactual_search,actionability_class,realistic_improvement_direction,diagnostic_counterfactual_direction,candidate_values,causal_intervention_claim_allowed,rationale,review_status,review_note
willingness_constraint_score,Organizational readiness,True,True,INDIRECTLY_MODIFIABLE,DECREASE_FRICTION,BOTH,OBSERVED_NORMALIZED_LEVELS_ONLY,False,"May change through trust, usefulness evidence, participation, and implementation experience.",CONFIRMED,Confirmed during CIPHER Stage 0 methodological review; counterfactuals remain diagnostic and non-causal.
digital_usage_constraint_score,Digital integration,True,True,INDIRECTLY_MODIFIABLE,DECREASE_FRICTION,BOTH,OBSERVED_NORMALIZED_LEVELS_ONLY,False,"Usage can change after access, workflow integration, training, and support improve.",CONFIRMED,Confirmed during CIPHER Stage 0 methodological review; counterfactuals remain diagnostic and non-causal.
training_deficit_score,Human capacity,True,True,DIRECTLY_MODIFIABLE,DECREASE_FRICTION,BOTH,OBSERVED_NORMALIZED_LEVELS_ONLY,False,"Can change through training, onboarding, and continuing technical support.",CONFIRMED,Confirmed during CIPHER Stage 0 methodological review; counterfactuals remain diagnostic and non-causal.
device_constraint,Infrastructure,True,True,DIRECTLY_MODIFIABLE,DECREASE_FRICTION,BOTH,OBSERVED_NORMALIZED_LEVELS_ONLY,False,"Can change through device acquisition, replacement, or shared-access redesign.",CONFIRMED,Confirmed during CIPHER Stage 0 methodological review; counterfactuals remain diagnostic and non-causal.
digital_tool_variety_constraint,Infrastructure and integration,True,True,DIRECTLY_MODIFIABLE,DECREASE_FRICTION,BOTH,OBSERVED_NORMALIZED_LEVELS_ONLY,False,Can change by adopting or consolidating appropriate digital tools.,CONFIRMED,Confirmed during CIPHER Stage 0 methodological review; counterfactuals remain diagnostic and non-causal.
internet_stability_constraint,Infrastructure,True,True,CONTEXTUALLY_MODIFIABLE,DECREASE_FRICTION,BOTH,OBSERVED_NORMALIZED_LEVELS_ONLY,False,"Can change through provider, redundancy, or infrastructure upgrades, but feasibility may depend on geography, market access, funding, and external connectivity conditions.",CONFIRMED,Confirmed during CIPHER Stage 0 methodological review; counterfactuals remain diagnostic and non-causal.
staffing_constraint_score,Human capacity,True,True,CONTEXTUALLY_MODIFIABLE,DECREASE_FRICTION,BOTH,OBSERVED_NORMALIZED_LEVELS_ONLY,False,"Can change, but often depends on budgets, hiring conditions, and external constraints.",CONFIRMED,Confirmed during CIPHER Stage 0 methodological review; counterfactuals remain diagnostic and non-causal.
time_constraint_score,Operational capacity,True,True,INDIRECTLY_MODIFIABLE,DECREASE_FRICTION,BOTH,OBSERVED_NORMALIZED_LEVELS_ONLY,False,"May change through staffing, scheduling, simplification, or task redistribution.",CONFIRMED,Confirmed during CIPHER Stage 0 methodological review; counterfactuals remain diagnostic and non-causal.
administrative_disorganization_constraint,Organizational capacity,True,True,INDIRECTLY_MODIFIABLE,DECREASE_FRICTION,BOTH,OBSERVED_NORMALIZED_LEVELS_ONLY,False,"May change through process standardization, role clarity, and governance routines.",CONFIRMED,Confirmed during CIPHER Stage 0 methodological review; counterfactuals remain diagnostic and non-causal.
recording_system_constraint,Infrastructure and integration,True,True,DIRECTLY_MODIFIABLE,DECREASE_FRICTION,BOTH,OBSERVED_NORMALIZED_LEVELS_ONLY,False,Can change through digitization or redesign of institutional record systems.,CONFIRMED,Confirmed during CIPHER Stage 0 methodological review; counterfactuals remain diagnostic and non-causal.
system_change_resistance_constraint,Organizational capacity,True,True,INDIRECTLY_MODIFIABLE,DECREASE_FRICTION,BOTH,OBSERVED_NORMALIZED_LEVELS_ONLY,False,"May change through implementation support, participation, and change management.",CONFIRMED,Confirmed during CIPHER Stage 0 methodological review; counterfactuals remain diagnostic and non-causal.
admin_time_load_constraint,Operational capacity,True,True,INDIRECTLY_MODIFIABLE,DECREASE_FRICTION,BOTH,OBSERVED_NORMALIZED_LEVELS_ONLY,False,"May change through workflow redesign, automation, or redistribution of tasks.",CONFIRMED,Confirmed during CIPHER Stage 0 methodological review; counterfactuals remain diagnostic and non-causal.
resource_constraint_score,Resource capacity,True,True,CONTEXTUALLY_MODIFIABLE,DECREASE_FRICTION,BOTH,OBSERVED_NORMALIZED_LEVELS_ONLY,False,"Can change but may depend on funding, donations, policy, or external support.",CONFIRMED,Confirmed during CIPHER Stage 0 methodological review; counterfactuals remain diagnostic and non-causal.
